Method,Variant,Accuracy,Macro-F1,Balanced Accuracy,ROC-AUC,Precision,Recall,Repeats,Parameters
Morphometry only,A0,0.2857 +/- 0.1650,0.2714 +/- 0.1787,0.3333 +/- 0.2187,0.5120 +/- 0.1467,0.3389 +/- 0.2594,0.3333 +/- 0.2187,5,38223
A4 + ANP,A5,0.2419 +/- 0.1167,0.1946 +/- 0.1129,0.2444 +/- 0.1694,0.5369 +/- 0.2373,0.2389 +/- 0.1455,0.2444 +/- 0.1694,5,64292
Full: NeuroProp-X + SAEG-GATv2 + structural covariance + Stage-TGT,A7,0.3657 +/- 0.1263,0.3022 +/- 0.1574,0.3889 +/- 0.1884,0.5513 +/- 0.2199,0.4122 +/- 0.2289,0.3889 +/- 0.1884,5,132136
