roi,roi_short,mean_rank,rank_sd,selection_frequency,stability_score,mean_score,n_runs
Broca_Area,Broca,2.4,1.069966161243848,0.9333333333333333,0.5575084596890381,0.5798761055100933,30
Insula,Insula,2.8666666666666667,1.4558640835892125,0.6333333333333333,0.40270064576936354,0.5224418542440786,30
Wernicke_Area,Wernicke,3.1,1.5165750888103102,0.5333333333333333,0.35835622779742243,0.4322969705820526,30
Inferior_Frontal_Gyrus,IFG,3.2,1.5402641958779175,0.5,0.3399339510305206,0.4332524657283731,30
Superior_Temporal_Gyrus,STG,3.433333333333333,1.330888563259934,0.4,0.36311119251834983,0.36913980405028635,30
